Author; Title; Date of first Publishing; Genre; Sub-Genre; Confidence Score
Karin Kuschik;50 Sätze die das Leben leichter machen;No Value;No Value;No Value;90
Nikki Erlick;Die Vorhersage;No Value;No Value;No Value;100
William Gibson; Neuromancer;1984; Science Fiction; Cyberpunk;100
Douglas Adams;Per Anhalter durch die Galaxis;1979;Science Fiction;Comedy;95
Stanisław Lem;Der futurologische Kongreß;1971;Science Fiction;Dystopian;95
Jason Porath;Rejected Princesses;2016;History;Biography;100
Christopher Chabris;Der unsichtbare Gorilla;2010;Psychology;Cognitive Science;90
Thomas Keneally;Schindler's List;1982;Historical fiction;Holocaust;100
Lemony Snicket;A Series of Unfortunate Events: The Bad Beginning;1999;Children's literature;Mystery;100
Charlotte Bronte;Jane Eyre;1847;Fiction;Gothic;95
Marguerite Duras;Schreiben;No Value;No Value;No Value;100
Tupoka Ogette;exit RACISM;No date;Non-fiction;No sub-genre;90
Walter Ernsting;Der geheimnisvolle Asteroid;Not identifiable;Science Fiction;Adventure;100
J.R.R. Tolkien;The Lord of the Rings;1954;Fantasy;High Fantasy;95
Ursula K. Le Guin; Erdsee; No Value; Fantasy; Sub-genre unknown;100
Max Frisch;Homo faber;1957;Fiction;Literary;95
Richard Rohr; Das Enneagramm; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;100
Tina Rosenberg; Join the Club; No Value; No Value; No Value;95
No Value extraction possible;;;;;
No Value extraction possilbe;;;;;
Fatma Aydemir und Hengameh Yaghoobifarah;Eure Heimat ist unser Albtraum;2019;Anthology;Essays;95
Joachim Meyerhoff;Ach diese Lücke  diese entsetzliche Lücke;No Value;No Value;No Value;80
Thomas Bernhard;Der Untergeher;;;;70
Noah Gordon;Der Medicus;No Value extraction possilbe;Historical fiction;No Value extraction possilbe;90
Héctor Oesterheld; L'eternaute;1969; Graphic Novel; Science Fiction;100
No Value extraction possible;;;;;
J.R.R. Tolkien;Die Geschichte des Großen Ringkrieges: Der Hobbit/Der Herr der Ringe;1954;Fantasy;High Fantasy;95
No Value extraction possible;;;;;
J.R.R. Tolkien;Die Geschichte des Großen Ringkrieges: Der Hobbit;1954;Fantasy;High Fantasy;95
Daniel P. Friedman;The Little LISPer;No Value;Technology;Programming;95
Leo Lionni;Swimmy;1963;Children's;Picture book;100
Erskine Childers;Das Rätsel der Sandbank;1903;Adventure;Mystery;100
Margaret Mitchell;Gone with the Wind;1936;Novel;Historical Fiction;100
Margaret Atwood;Die eßbare Frau;1969;Fiction;Literary;100
Uwe Wesel; Fast alles was Recht ist Jura für Nicht-Juristen; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;100
Andreas Eschbach;AUSGEBRANNT;No date value;Thriller;No sub-genre;90
Norman Mailer;Marilyn Monroe;No Value;Biography;No Value;90
M.C. Escher Kaleidocycles; Doris Schattschneider and Wallace Walker; No Value extraction possilbe; No Value extraction possilbe;Art 85;
Elizabeth Shaw;Der kleine Angsthase;Keine Angabe;Children's literature;Picture book;85
Haruki Murakami;Kafka am Strand;2002;Fiction;Magical Realism;95
Jerzy Zulawski;The Lunar Trilogy;1901;Science fiction;Space opera;90
P.G. Wodehouse; Jeeves;1934;Comedy;Fiction;100
Chris Anderson;The Long Tail;2006;Business;Marketing;95
Michael Ende;Die unendliche Geschichte;1979;Fantasy;No Value;100
Walker Percy;Love in the Ruins;1971;Fiction;Dystopian;100
John le Carré;The Pigeon Tunnel;No Value;No Value;No Value;95
Donella H. Meadows;Thinking in Systems;2008;Non-fiction;Systems Theory;100
Janosch;Janosch erzahlt Grimm's Märchen;No Value;Children's Literature;Fairy Tale;95
Silence;Shusaku Endo;1966;Fiction;Historical;95
Black and Blue Magic;Zilpha Keatley Snyder;1967;Fiction;Fantasy;95
Nausea;Jean-Paul Sartre;1938;Philosophical fiction;Existentialism;95
Hugh Scott;Why Weeps the Brogan?;No Value;No Value;No Value;100
Forth Henschler Rummel;Allgemeine und spezielle Pharmakologie und Toxikologie;No Value;Medicine;Pharmacology;95
Mikaela Loach; It's Not That Radical; No value; Non-Fiction; Environmentalism;90
No Value extraction possible;;;;;
Lorenz Wagner;Der Junge  der zu viel fühlte;No Value;No Value;No Value;90
Giles Smith;Lost in Music;No Value;Non-Fiction;Music;95
Mario Puzo;Dwazen sterven;;;;85
Art Spiegelman;The Complete MAUS;1980;Graphic Novel;Biography;100
Janosch;Oh  wie schön ist Panama;No Value;Children's Literature;Picture Book;95
Enrica de Cesco;Frei wie die Sonne;No Value;No Value;No Value;70
No Value extraction possible;;;;;
Edmund Wilson;To the Finland Station;1940;Non-Fiction;History;95
Lao Tzu;Tao Te Ching;0;Philosophy;Ancient Philosophy;90
Ingeborg Bachmann;Das dreißigste Jahr;1961;Fiction;Short Stories;95
No Value extraction possilbe;;;;;
Joe Toplyn;Comedy Writing for Late-Night TV;No Date;Non-Fiction;Guide;100
Jon Stone; The Monster at the End of This Book;1971; Children's; Picture Book;100
William Buck;Ramayana;No Value;No Value;No Value;90
No Value extraction possilbe;;;;;
James Herriot; Ein Jahrbuch nach seiner Art; No value; No value; No value;95
No Value extraction possilbe;;;;;
Diane Noomin;Twisted Sisters: A Collection of Bad Girl Art;No Value;Art;Comics;100
J. Krishnamurti;The First and Last Freedom;1954;Philosophy;None;90
John le Carré;OUR KIND of TRAITOR;2010;Spy fiction;Thriller;95
Cynthia Voigt;Homecoming;1981;Young Adult;Fiction;95
Kaffe Fassett;Farbenfrohe Bilder auf Stramin: die Praxis der Gobelinstickerei;No Value;Non-Fiction;Instructional;95
Gerald Durrell;The Bafut Beagles;1954;Non-Fiction;Nature;100
Jasper Fforde;The Well of Lost Plots;2003;Fiction;Fantasy;95
Hans A. Pestalozzi;Nach uns die Zukunft:;No Value;No Value extraction possilbe;No Value extraction possilbe;80
Bohumil Hrabal;Dancing Lessons for the Advanced in Age;;;;95
Amy Hatkoff; The Inner World of Farm Animals;2009; Nonfiction; Animal Studies;100
Stephen Hawking;A Brief History of Time;1988;Science;Physics;100
Jules Verne;Die Jagd auf den Meteor;1908;Science Fiction;Adventure;95
Margaret Mahy;Noita Vellus;2023;No Value;No Value;80
Italo Calvino;If on a Winter's Night a Traveler;1979;Fiction;Postmodern Literature;90
Hermann Hesse;Knulp;1915;Fiction;Classics;95
Plato;Five Dialogues;Unknown;Philosophy;Ancient Philosophy;90
Tim Reiterman;Raven: The Untold Story of the Rev. Jim Jones and His People;1982;Non-fiction;Biography;100
No Value extraction possible;;;;;
Rachel Carson;Silent Spring;1962;Non-fiction;Environmentalism;100
Haruki Murakami;Kafka am Strand;2002;Fiction;Literary Fiction;100
Sir Arthur Conan Doyle; The Complete Sherlock Holmes;1887; Fiction; Mystery;100
Douglas R. Hofstadter;Gödel Escher Bach;1979;None;None;100
J.R.R. Tolkien;The Silmarillion;1977;Fantasy;High Fantasy;100
Rolf Ulrici; Räuber Geister Und Chinesen; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;90
Daniel Speck;Jaffa Road;;Roman;;
Karl Marx;The Communist Manifesto;1848;Political Philosophy;Socialism;95
George Orwell;1984;1949;Science Fiction;Dystopian;100
Erich Kästner;Der kleine Mann;1963;Children's literature;Adventure;90
Lost Horizon;James Hilton;1933;Adventure;Fantasy;100
Wilhelm Busch;Was beliebt ist auch erlaubt;No Value;No Value;No Value;100
No Value extraction possilbe;;;;;
Paul Watzlawick;Anleitung zum Unglücklichsein;1983;Non-fiction;Psychology;95
No Value extraction possible;;;;;
Uwe Johnson; Jahrestage Aus dem Leben von Gesine Cresspahl;;; No Value; No Value
Marcella Hazan;Die klassische italienische Küche;1973;Cookbook;Italian Cuisine;95
David Nelles;Kleine Gase - Grosse Wirkung Der Klimawandel;No Value;No Value;No Value;95
Jane Austen;Die Abtei von Northanger;1817;Romance;Gothic;100
C.S. Lewis;The Lion  The Witch and The Wardrobe;1950;Fantasy;Children's fantasy;100
Charles Stross;Accelerando;No Value;Science Fiction;Speculative Fiction;95
Terry Pratchett;Eine Insel;No Value;No Value;No Value;100
George Orwell;Essays;1940s;Non-fiction;Essays;95
Otfried Preußler;Krabat;1971;Fantasy;Young Adult;90
Larry Niven;Neutron Star;1968;Science Fiction;Hard Science Fiction;100
Gunter Dueck;Omnisophie;No Value;No Value;No Value;100
Franz Kafka ;Das Schloß ;1926;Fiction ;General ;95
Lisa Christ;Im wilden Fruchtfleisch der Orange;;Literature;Poetry;100
George Orwell;Farm der Tiere;1945;Dystopian;Allegory;95
Hermann Hesse;Narziss and Goldmund;1930;Fiction;Literary;100
Lawrence Sutin;Divine Invasions;1989;Biography; Literary Biography;100
Enid Blyton;The Famous Five: Five on a Treasure Island;1942;Adventure;Fiction;90
Louisa May Alcott;Betsy and the Swissmen;1953;No Genre Available;No Sub-genre Available;95
Sergej Lukianenko;Spektrum;No Value;Science Fiction;No sub-genre;90
Ursula K. Le Guin;Malafrena;1979;Fiction;Romantic;100
Joseph Campbell;DER HEROS;1939;No Value extraction possible;No Value extraction possible;95
Henry Miller;Wendekreis des Krebses;1934;Fiction;Novel;95
Eva Lips;Sie alle heißen Indianer;No Value;no data;no data;90
Nick Hornby;High Fidelity;1995;Novel;Romance;100
Onkel Tobi hat Geburtstag;No value;no value;Children's book;Picture book;80
Alex Haley;Wurzeln;No Value;No Value;No Value;80
Johann Wolfgang Goethe;Die Leiden des jungen Werther;1774;Novel;Epistolary novel;100
Uljana Wolf;Rückseite der Gesten;2009;Fiction;Poetry;95
FRANK HERBERT;DER TOD EINER STADT;No Value;Science Fiction;Short Stories;95
Siegfried Lenz;Deutschstunde;1968;Fiction;Novel;100
No Value extraction possible;;;;;
Maria Gräfin von Maltzan;Schlage die Trommel und fürchte dich nicht: Erinnerungen;No Value extraction possilbe;Biography;Memoir;100
No Value extraction possible;;;;;
Kübra Gümüşay;Sprache und Sein;No Data;No Data;No Data;95
Robert Jordan; Drohende Schatten; No Value; Fantasy; Epic;90
Jason Fried & David Heinemeier Hansson;REWORK;2010;Business;Entrepreneurship;100
Sheila de Liz;Woman on Fire;No Value;No Value extraction possilbe;No Value extraction possilbe;100
Ali Mitgutsch;Hier in den Bergen;No Value;Children's literature;Picture book;100
Götz Göppert;Flyer mania;No Value;No Value;No Value;80
James Krüss;Die Glücklichen Inseln hinter dem Winde;No Value;No Value extraction possilbe;;
Otfried Preußler; Die kleine Hexe;1957; Children's literature; Fantasy;90
Stephen Fried;GIA: Tragödie eines Supermodels;1993;Biography;Modeling;100
Mariana Leky;Was man von hier aus sehen kann;No Value;No Value;No Value;100
Octavia E. Butler;Imago;1989;Science Fiction;Speculative Fiction;95
Graham Greene;The End of the Affair;1951;Fiction;Romance;90
Hubert Selby;Letzte Ausfahrt Brooklyn;1964;Fiction;Drama;100
Eugene Vodolazkin; Laurus; No Value; No Value; No Value;90
Oscar Wilde; The Importance of Being Earnest;1895; Dramatic; Comedy;100
S.B. Wright;magpie tales;No Value;No Value;No Value;90
Sayaka Murata;Earthlings;2020;Fiction;Science Fiction;100
Sean Kleefeld;Webcomics;No Value;Graphic Novel;Comics Studies;95
No Value extraction possible;;;;;
Hildegard Knef;Der geschenkte Gaul;No Value;No Value;No Value;90
Sarah Lyons; Revolutionary Witchcraft: A Guide to Magical Activism; No Date; No Value; No Value;85
J.K. Rowling;Harry Potter and the Philosopher's Stone;1997;Fantasy;Young Adult;100
No Value extraction possible;;;;;
Alice Hasters;Was weiße Menschen nicht über Rassismus hören wollen aber wissen sollten;2019;Nonfiction;Sociology;100
All Quiet on the Western Front;No Value extraction possible;1929;Fiction;War;80
John Fowles;The Magus;1965;Fiction;Psychological Thriller;100
William Hope Hodgson;The House on the Borderland;1908;Science Fiction;Horror;95
Zak Cope;The Wealth of (Some) Nations;No Value;No Value;No Value;95
Rene Daumal;A Night of Serious Drinking;1965;Fiction;Absurdist Fiction;100
Wolf Durian;Robber;no value;no value;no value;95
FELIX DAHN; EIN KAMPF UM ROM;1876; HISTORICAL FICTION; WAR;90
P L A T S; John Troirry; No Value extraction possilbe; No Value extraction possilbe; No Value extraction possilbe;80
Erich Kästner;Das fliegende Klassenzimmer;1933;Children's literature;Adventure;95
Antoine de Saint-Exupéry; Der Kleine Prinz;1943; Fiction; Children's Literature;90
Gudrun Pausewang;Frieden kommt nicht von allein;No Value;No Value;No Value;100
No Value extraction possible;;;;;
Michael J. Hernandez;Database Design for Mere Mortals;1997;Technology;Databases;100
Peter Untermairhofer;Lost Places fotografieren;No Value;Photography;Guide;90
Vladimir Nabokov;Pnin;1957;Fiction;Novel;100
Mira Lobe;Das kleine Ich bin ich;Unknown;Kinderbuch;Unknown;90
Hans Pretterebner;Der Fall Lucona;;;;95
Jane McGonigal;Imaginable;No Value;Non-fiction;Self-help;100
Donald J. Sobol;Encyclopedia Brown Boy Detective;1963;Fiction;Detective;100
No Value extraction possible;;;;;
Octavia E. Butler;Parable of the Talents;1998;Fiction;Science Fiction;95
No Value extraction possilbe;;;;;
J.R.R. Tolkien;The Lord of the Rings;1954;Fantasy;High Fantasy;100
Roald Dahl;Fantastic Mr Fox;1970;Children's literature;Adventure;95
John Gardner;The Sunlight Dialogues;1972;Fiction;No Value;100
Jakob Ejersbo;Liberty;No Value;No Value;No Value;90
Douglas Adams;Per Anhalter durch die Galaxis;1979;Science Fiction;Comic Science Fiction;95
Brian W. Kernighan; The C Programming Language;1978; Computer Science; Programming Language;100
Clifford Stoll;Kuckucksei;1989;Non-Fiction;Technology;95
Joan Roughgarden; Evolution's Rainbow; No Value; No Value; No Value;95
Jorge Luis Borges;Labyrinths;1962;Fiction;Short Stories;100
Michael Ende;The Neverending Story;1979;Fantasy;High Fantasy;100
Douglas Adams;The Hitchhiker's Guide to the Galaxy;1978;Science Fiction;Comedy;95
Hannah Arendt;Eichmann in Jerusalem;1963;Non-fiction;Historical Analysis;100
Mihail Bulgakov;Saatana saapuu Moskovaan;1940;Fiction;Satire;100
Lewis Carroll;Alice's Adventures in Wonderland;1865;Fantasy;Children's Literature;100
Neal Stephenson;Cryptonomicon;1999;Speculative Fiction;Cyberpunk;100
James Baldwin;The Fire Next Time;1963;Non-fiction;Social Commentary;100
Donald J. Sobol;Encyclopedia Brown;1963;Children's literature;Mystery;95
Hans-Peter Willberg;Erste Hilfe in Typografie;2007;Non-fiction;Design;100
Raymond Chandler;Der große Schlaf;1939;Crime;Hard-boiled;98
DIETER LATTEMANN; Das Anekdotenbuch; No Value extraction possible; No Value extraction possible; No Value extraction possible;95
Scott McCloud;Understanding Comics;1993;Non-fiction;Comics Theory;100
Jessica Amanda Salmonson;Amazons!;1980;Fantasy;Heroic Fantasy;95
J.R.R. Tolkien;Der Herr Der Ringe;1954;Fantasy;High Fantasy;100
Marie-Carole Poter;Kunst verstehen;No Value;No Value;No Value;90
Christopher Moore;Der kleine Dämonenberater;No Date Found;No Genre Found;;
Gary Zukav;The Dancing Wu Li Masters;1979;Non-fiction;Science;95
Eduardo Galeano; Las venas abiertas de América Latina;1971; Non-Fiction; History;90
Marcel Pagnol;Eine Kindheit in der Provence;No Value; No Value;No Value;90
Shoshana Zuboff; The Age of Surveillance Capitalism;2019; Non-fiction; Technology;95
Lars Saabye Christensen;Yesterday;No Value;No Value;No Value;90
Erich Maria Remarque;Der schwarze Obelisk;1956;Novel;Historical fiction;90
Timur Vermes;Er Ist Wieder Da;2012;Satire;Political Satire;100
Charles Petzold; Code: The Hidden Language of Computer Hardware and Software;2000; Technology; Computing;95
Jutta Profijt;Kühlfach 4;No Value;Crime;Thriller;95
Gregory Bateson and Mary Catherine Bateson;Angels Fear;No Value extraction possible;Philosophy;Religious Philosophy;95
Catherine Malabou;Before Tomorrow;No Value;No Value;No Value;100
Steven Levitsky / Daniel Ziblatt;Wie Demokratien Sterben;2018;Politics;Democracy;90
Scott McCloud;Understanding Comics: The Invisible Art;1993;Comics;Graphic Novels;100
Stefan Zweig;Verwirrung der Gefühle;No Value;No Value;No Value;100
John Gardner;Grendel;1971;Fiction;Literary;95
Klas E. Everwyn;Für fremde Kaiser und kein Vaterland;No Value;No Value;No Value;95
Rodnay Zaks;Programmierung des 6502;No Value;Technical;Programming;95
Iain Banks;Barfuss Über Glas;1984;Fiction;Literary;100
Marc-Uwe Kling; Der Tag  an dem Papa ein heikles Gespräch führen wollte; No Value; No Value; No Value;100
No Value extraction possilbe;;;;;
Ray Bradbury;Das Böse kommt auf leisen Sohlen;1962;Horror;Dark Fantasy;90
No Value extraction possilbe;;;;;
Astrid Lindgren;Ronja Räubertochter;1981;Children's literature;Fantasy;100
Isaac Asimov; Nightfall;1941; science fiction; hard science fiction;100
Heidi;No Value extraction possible;No Value extraction possible;No Value extraction possible;No Value extraction possible;70
Rosemary Sutcliff; Der Adler;1954; Historical Fiction; Young Adult;100
Maja Göpel;Unsere Welt neu denken;No Value;No Value;No Value;95
Alice Koller;An Unknown Woman;No Value;No Value;No Value;100
Alice Koller;Inselzeit;No Value;No Value;No Value;80
Dava Sobel;Longitude;1995;Non-Fiction;Biography;95
Loriot;Gesammelte Prosa;No Value;No Value;No Value;90
No Value extraction possible;;;;;
LOUISE BOURGEOIS;Destruction of the Father - Reconstruction of the Father Schriften und Interviews 1923-2000;2000; Nonfiction; Art;100
George Orwell;1984;1949;Science Fiction;Dystopian;100
Fridtjof Nansen;In Nacht Und Eis;No Value;Non-Fiction;Exploration;100
Daniel Kulla;Der Phrasenprüfer;No Value;No Value;No Value;90
Yuval Noah Harari; Eine kurze Geschichte der Menschheit; No Value extraction possible; Non-fiction; History;90
Erich Kästner;Das Punktchen und Anton;1929;Fiction;Children;100
Umberto Eco;Das Foucaultsche Pendel;1988;Fiction;Historical Fiction;100
Ed Sanders;The Family;1971;Non-fiction;Crime;100
Astrid Lindgren;Die Brüder Löwenherz;1973;Fantasy;Children's Literature;100
Hermann Hesse;Der Steppenwolf;1927;Novel;Philosophical fiction;100
No Value extraction possible;;;;;
Marie Benedict;Frau Einstein;No Value;No Value;No Value;90
Henning Mankell;Treibsand;No Value;Non-Fiction;No Value;100
Anne Enright; The Gathering; No Value; Fiction;  No Value;90
Maarit Verronen;Pimeästä maasta;No Value;No Value;No Value;90
Henry Roth;Nenne es Schlaf;1994;Fiction;Drama;95
KARLHEINZ DESCHNER;Kriminalgeschichte des Christentums;;;;
Alien Creatures;Richard Siegel and J-C Suares;No Data;Science Fiction;Alien;90
Umberto Eco;Travels in Hyperreality;1986;Non-fiction;Media Studies;95
Günter Grass;Die Rättin;No Value;No Value;No Value;80
Ryszard Kapuściński;Der Fußballkrieg;1992;Non-fiction;War;95
Tove Jansson; Finn Family Moomintroll;1948; Fiction; Children's;100
Virginia Woolf;A Room of One's Own;1929;Non-fiction;Essay;100
Dennis E. Taylor;Ich bin viele;No Value;Science Fiction;No Value;90
R. Buckminster Fuller;Grunch of Giants;1983;Non-fiction;None;80
Muriel Spark;Die Sehr Gute Uhr;No Value;No Value;No Value;100
Douglas Adams;The Hitchhiker's Guide to the Galaxy;1979;Science Fiction;Comedy;100
Isobelle Carmody;Ashling;1995;Fantasy;Speculative Fiction;95
Gunter Dueck;Wild Duck;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;90
Liv Strömquist;Der Ursprung der Welt & Der Ursprung der Liebe;No Value;No Value;No Value;95
Dirk C. Fleck;Das Tahiti Projekt;No Value;Thriller;Eco-thriller;85
Mircea Cărtărescu;Blinding;1989;Fiction;Experimental;90
Gerald McDermott;Arrow to the Sun;1974;Children's Book;Folktale;100
Steve Silberman;NeuroTribes;No Value;Non-fiction;Science;100
Irvine Welsh;Trainspotting;1993;Fiction;Contemporary;90
Alice Hasters;Was weiße Menschen nicht über Rassismus hören wollen aber wissen sollten;No Value;No Value;No Value;100
Nelson Mandela;Long Walk to Freedom;1994;Autobiography;Memoir;100
Noam Chomsky;The Essential Chomsky;No Value;Non-Fiction;Linguistics;90
Douglas Adams;Die Letzten ihrer Art;1990;Non-Fiction;Nature;100
The Philokalia;St. Nikodimos of the Holy Mountain and St. Makarios of Corinth;1782;Religion;Spirituality;95
Matt Ruff;G.A.S. Die Trilogie der Stadtwerke Roman;Keine Angabe;Fiction;Science Fiction;85
Anne McCaffrey;Dragonflight;1968;Science Fiction;Fantasy;100
Octavia E. Butler;Parable of the Sower;1993;Science Fiction;Dystopian;100
Rutger Bregman;Humankind: A Hopeful History;2020;Non-fiction;History;100
Astrid Lindgren;Geschichten;No Value;Children's Literature;Fiction;95
Michael Chabon; The Yiddish Policemen's Union;2007; Fiction; Mystery;100
Guy McCrone;Wax Fruit Trilogy;No Value;No Value;No Value;100
Neal Stephenson; Anathem;2008; Science Fiction; Philosophical Fiction;95
David Graeber & David Wengrow;The Dawn of Everything;;;History;90
No Value extraction possible;;;;;
Susanne Straßer; DER WAL NIMMT EIN BAD; No Value; Children's Literature; Picture Book;100
Philip K. Dick; Ubik;1969; Science Fiction;;
Douglas Adams;The More Than Complete Hitchhiker's Guide;1986;Science Fiction;Humor;95
Stephen Crane;The Red Badge of Courage;1895;Fiction;War;100
No Value extraction possible;;;;;
Yair Mintzker;The Many Deaths of Jew Süss;2017;History;Biography;100
Sten Nadolny;Die Entdeckung der Langsamkeit;1983;Fiction;Novel;100
Zadie Smith;On Beauty;2005;No Value;No Value;95
Michael Hardt; Empire;2000; Political Theory; Globalization;95
Robin Wall Kimmerer;Braiding Sweetgrass;2013;Non-fiction;Nature writing;100
No Value extraction possible;;;;;
Stefan Aust;Der Baader Meinhof Komplex;1985;Non-fiction;History;100
Kishon;Der Fuchs im Hühnerstall;No Value;No Value;No Value;80
Ray Bradbury;Fahrenheit 451;1953;Science Fiction;Dystopian;100
Donna Tartt;Jumalatt Juhlivat Oisin;No Value;No Value;No Value;75
Isaac Asimov;Foundation;1951;Science Fiction;Space Opera;95
Kurt Vonnegut;The Sirens of Titan;1959;Science Fiction;Soft Science Fiction;100
Marvel Comics;The New Mutants;1983;Comic Books;Superhero;100
feminismus;barbara streidl;No Value;Non-Fiction;Social Science;100
Laura Lonsanya;A History of Fashion;2010;Art;History;95
Sven Nordqvist; Aufruhr im Gemüsebeet; No Value extraction possilbe; Children's literature; Picture book;100
CESBRON;ES IST SPÄTER ALS DU DENKST;;;;90
Anthony Buckeridge; Jennings and Darbishire; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
Nevil Shute; On the Beach;1957; Fiction; Post-apocalyptic;100
Douglas Adams ; The Ultimate Hitchhiker's Guide to the Galaxy ;1979; Science fiction ; Comic Science Fiction ;90
Max Frisch; Andorra;1961; Fiction; Drama;100
Meyer Lehmann Schulze;Mein Lieblingsbuch aus dem wilden Kindergarten;No Value;Children's Books;Fiction;95
Samy Molcho;Körpersprache;No date;No genre;No sub-genre;60
Leonie Swann;Glennkill;No Value;Crime;No Value;90
Ian Hamilton Q.C.;The Taking of the Stone of Destiny;No Value;Non-fiction;History;90
Jack Kornfield;The Inner Art of Meditation;No Value;Non-fiction;Spirituality;100
Max Kruse; Urmel aus dem Eis; No Value; No Value; No Value;90
Emmanuel Lévinas;Totalität und Unendlichkeit;1961;Philosophy;Metaphysics;100
John Irving;Garp und wie er die Welt sah;1978;Fiction;Novel;100
Jeffrey E. F. Friedl;Mastering Regular Expressions;1997;Technology;Programming;100
Sebastian Haffner;Germany: Jekyll & Hyde;1939;Non-fiction;History;95
Ilse Aichinger;Meine Sprache und Ich;No Value;No Value;No Value;80
Isaac Asimov;I Robot;1950;Science Fiction;Robotics;100
Monica Hughes;TIETO koneen vangit;No Value;Science Fiction;No Value;90
Vincent Bevins;The Jakarta Method;2020;Non-fiction;History;95
Ursula K. Le Guin;Die linke Hand der Dunkelheit;1969;Science Fiction;Novel;95
Therese Bischoff;kein vergessen;No Value;No Value;No Value;95
Angela Sommer-Bodenburg;Der kleine Vampir;1979;Children's literature;Vampire fiction;100
Shakespeare;A Midsummer Night's Dream;1595;Play;Comedy;100
Aldous Huxley;Schöne neue Welt;1932;Science Fiction;Dystopian;100
Das grosse Wilhelm Busch Album;Wilhelm Busch;No Value;No Value;No Value;100
Alfred Wellm;Das Pferdemädchen;No Value;No Value;No Value;90
Hermann Hesse;Demian;1919;Fiction;Novel;100
J.R.R. Tolkien;The Lord of the Rings;1954;Fantasy;High Fantasy;95
Frank Schätzing;Tod und Teufel;No Value;No Value;No Value;100
Henrio Malighegn;Inner Voyage of a Stranger: Pathways to a New Perception;No Value;No Value;No Value;95
George Orwell;Farm der Tiere;1945;Political fiction;Allegory;100
Chorlaus Gans;Die Ducks;No Value;No Value;No Value;90
Luke Chmilenko;Ascend Online;No Value;Fantasy;LitRPG;100
No Value extraction possible;;;;;
Charles Darwin;Die Bildung der Ackererde;1881;Science;Geology;100
Baermann;Klarinetten Schule;No Value;Instructional;Music;100
Jan Hegenberg;Weltuntergang fällt aus;No Value;No Value;No Value;100
Brigitte Reimann; Franziska Linkerhand; No date found; Fiction; Literary;90
Emily Brontë;Die Sturmhöhe (Wuthering Heights);1847;Fiction;Gothic;100
Frank Herbert;Der Wüstenplanet;1965;Science Fiction;None;95
George R. R. Martin;Die zweite Stufe der Einsamkeit;No Value;Science Fiction;No Value;90
Bret Easton Ellis;American Psycho;1991;Thriller;Psychological Thriller;95
Carlos Castaneda;The Teachings of Don Juan: A Yaqui Way of Knowledge;1968;Non-fiction;Spirituality;100
Michael Ende;Der satanarchäolügenialkohöllische Wunschpunsch;No Value;No Value;No Value;95
C.S. Lewis;The Complete Chronicles of Narnia;1956;Fantasy;Children's Fiction;100
Robert M. Sapolsky;A Primate's Memoir;2001;Non-Fiction;Memoir;100
Peter Naujack;Die besten Science Fiction Geschichten; No Value;Science Fiction;Anthology;100
Michael Jürgs;Eine berührbare Frau;No Value extraction possilbe;Biography;Art;95
George Orwell;1984;1949;Science Fiction;Dystopian;100
Karl Marx;Das Kapital;1867;Economics;Political Economy;95
Jacques Ellul;Propaganda: The Formation of Men's Attitudes;1962;Non-fiction;Social Science;95
Jon Krakauer;Into Thin Air;1997;Non-fiction;Memoir;100
Friedrich Dürrenmatt;Die Physiker;1962;Drama;Comedy;100
Neil Postman;Teaching as a Subversive Activity;1969;Education;Teaching;95
Sophie Mereau-Brentano;Wie sehn' ich mich hinaus in die freie Welt;No Value;No Value;No Value;100
David C. Hay;Data Model Patterns;No Value;Technology;Data Management;100
J.R.R. Tolkien;Der Herr der Ringe - Band II: Die Zwei Türme;1954;Fantasy;High Fantasy;100
Leo Trotzki;Der junge Lenin;Keine Angabe;Biographie;Keine Angabe;90
Georges Duby;Die Zeit der Kathedralen;No Value;No Value;No Value;90
Philipp Blom;Die Welt aus den Angeln;2017;History;Climate Change;100
Jakob Nielsen;Designing Web Usability;1999;Non-fiction;Technology;95
Luise Rinser;Mirjam;No Value;No Value;No Value;95
Herge;Der Fall Bienlein;1956;Comic;Adventure;100
Charles Bukowski;Das Schlimmste kommt noch;;Fiction;Novel;100
Liv Strömquist;Der Ursprung der Liebe;No Value;No Value;No Value;95
Walter Wangerin;The Book of the Dun Cow;No Value;Fantasy;No Value;95
No Value extraction possible;;;;;
Thomas Mann;Der Tod in Venedig;1912;Fiction;Novella;100
No Value extraction possilbe;;;;;
Vance Packard;The Hidden Persuaders;1957;Non-fiction;Business;100
Russell Hoban;Riddley Walker;1980;Science Fiction;Post-Apocalyptic;100
Keri Hulme;The Bone People;1985;Fiction;Literary Fiction;100
Theodor Fontane;Effi Briest;1896;Novel;Realist;100
T.C. Boyle;San Miguel;No value;No value;No value;90
Gudrun Pausewang;Die letzten Kinder von Schewenborn;1983;No Value;No Value;85
Peter W. Atkins;Physikalische Chemie;No Value extraction possilbe;Science;Physical Chemistry;100
J.R.R. Tolkien;The Hobbit;1937;Fantasy;High Fantasy;100
Éva Janikovszky; ha én FELNŐTT volnék; No Value; No Value; No Value;100
No Value extraction possilbe;;;;;
